targetid,target_ra,target_dec,z,anomaly_score,spectype,zwarn,peak_residual_wavelength,worst_band,max_snr,median_coadd_snr_b,median_coadd_snr_r,median_coadd_snr_z
-13923415,258.7848,14.298645,-0.00022897184,5.719815,STAR,2049,3876.6082,B,0.50123614,0.09424022,0.50123614,0.0
-228894088,163.53171,74.687546,5.17332,5.645191,QSO,512,4429.8247,B,3.4313765,3.4313765,0.18838346,0.21198611
39627857818812690,36.50781,3.0497937,6.401972,5.6319757,QSO,0,7923.2,Z,0.85869074,-0.030376898,-0.018663688,0.85869074
39628357956010070,247.29706,24.12767,6.4766803,5.6072454,QSO,0,3838.0117,Z,0.8689215,-0.05720279,-0.039518636,0.8689215
39627863560821445,18.972525,3.3081574,6.5051894,5.5896096,QSO,0,7526.4,Z,0.5614387,-0.05435203,-0.019361734,0.5614387
-237184284,189.13724,-5.8389626,0.24772623,5.580098,GALAXY,1,9484.8,R,0.6762792,0.0,0.6762792,0.168421
39627730878211251,30.491856,-2.3006678,0.72185314,5.567468,GALAXY,2,3645.0293,Z,1.6528815,0.3422053,0.0,1.6528815
616093940453475403,245.0118,46.357235,0.63181144,5.5373435,GALAXY,5,9331.2,R,0.5483355,0.0,0.5483355,0.17695837
39627833147918067,6.048707,1.9580778,0.985933,5.512148,GALAXY,6,3850.8772,B,0.55450195,0.087211266,0.55450195,0.0
39636647024790951,346.16913,2.5423295,1.0057448,5.4758673,GALAXY,6,4223.9766,B,0.500023,0.081670426,0.500023,0.0
-218877209,336.27554,23.976065,-0.0005627543,5.47559,STAR,1,3940.9358,B,0.59649307,0.021162245,0.59649307,0.0
39628492031133930,238.59572,30.537361,4.844939,5.4738855,QSO,0,7138.9653,Z,6.4787955,0.05743056,1.416923,6.4787955
-57922492,225.38286,-2.6755083,1.367561,5.4472404,GALAXY,5,5792.069,R,1.2409068,0.35599655,0.035009217,1.2409068
-220741454,285.98947,62.843365,0.49149206,5.4025354,GALAXY,2560,9305.6,R,0.5414893,-0.05460218,0.5414893,-0.0430968
39633040263090376,256.8445,37.993107,4.4485407,5.4021525,QSO,2,3619.2983,R,2.4813197,0.19446833,2.4813197,0.0
39627779435664544,44.716305,-0.1544105,1.5725355,5.3899345,GALAXY,2,4082.456,B,0.5120587,0.07473179,0.5120587,0.0
-205833322,191.03004,-1.3309108,0.35490242,5.3813796,GALAXY,5,4069.5906,B,0.5804466,0.5804466,0.0,0.0
616088813365625169,4.9356217,11.4397745,1.4880385,5.377855,GALAXY,7,3850.8772,B,0.5508982,0.113371514,0.0,0.5508982
39628007819707790,23.111032,9.238995,1.214317,5.3744903,GALAXY,2,4043.8596,B,0.5280807,0.09175339,0.5280807,0.0
39627766169077128,333.7911,-1.0514659,0.31475005,5.354324,GALAXY,6,5793.5674,B,0.61568755,0.022410443,0.0,0.61568755
39633454014403107,294.01047,66.05061,0.97514683,5.348118,GALAXY,0,7718.4,Z,0.86478585,0.15953997,0.86478585,-0.91162086
39632931810971393,271.49118,32.41385,0.7946557,5.345388,GALAXY,2,3889.4736,B,0.5817873,-0.15100473,0.5817873,0.0
-205913322,180.4852,0.0712998,1.4748532,5.3276377,GALAXY,5,9792.0,Z,0.52491885,0.0,0.0,0.52491885
39627877410413480,125.663826,3.7747087,1.6572453,5.3196645,GALAXY,2,4185.38,B,0.5638142,0.5638142,0.08586517,0.0
-235499131,253.6022,10.051632,0.92545646,5.317001,GALAXY,2053,9484.8,R,0.6091965,0.0,0.6091965,0.17009324
39633191367084936,162.18776,46.62178,6.1956034,5.3006854,QSO,0,5804.8965,Z,2.1800344,-0.055900335,0.13542035,2.1800344
39633127475250050,226.92343,42.704735,1.6364126,5.2992415,GALAXY,0,5792.069,R,4.5592484,0.2590907,4.5592484,0.5753444
39627851875488435,42.390812,2.863196,0.78676397,5.28213,GALAXY,2,3619.2983,Z,3.1926928,0.2727397,0.0,3.1926928
-203651076,138.93063,40.457623,0.51724297,5.25739,GALAXY,2560,4095.3215,R,0.52995723,-0.010848673,0.52995723,-0.048527084
39627543703195060,328.90915,-10.187772,0.3079094,5.2572217,GALAXY,2,4095.3215,B,0.5010104,0.070684746,0.5010104,0.0
39628257338853539,265.42654,19.681665,0.8608376,5.2554855,GALAXY,2,4365.497,B,0.58758765,-0.004618116,0.58758765,0.0
-240394121,262.574,29.35628,1.5352013,5.2543325,GALAXY,2566,9484.8,B,0.5073455,0.5073455,0.0,-0.03188516
39627989616427941,6.3606515,8.434699,0.9354298,5.2369213,GALAXY,6,3850.8772,B,0.5759587,-0.03107423,0.5759587,0.0
39627817775793900,169.84023,1.219063,5.782094,5.23638,QSO,0,6908.069,Z,4.5982785,0.0916345,0.3751356,4.5982785
-29754122,249.87566,10.993099,0.78143615,5.2330008,GALAXY,2566,3979.5322,B,0.51697403,0.03940606,0.0,0.51697403
39627854434012501,194.91084,2.7962499,0.50405806,5.2315207,GALAXY,6,4365.497,B,0.6056595,0.10674179,0.6056595,0.0
39628336116275738,267.07825,23.256836,0.76352596,5.225257,GALAXY,6,4416.959,B,0.5912856,0.065631814,0.5912856,0.0
-18828520,274.015,33.60398,-0.0018679446,5.2194276,GALAXY,5,3889.4736,B,0.50718427,0.105354995,0.50718427,0.0
39633169590258797,105.246414,45.182842,1.6367761,5.2095127,GALAXY,0,5792.069,R,4.0468087,0.10494294,4.0468087,0.530016
39628007781959551,20.87036,9.301882,-4.2177802e-05,5.189483,STAR,6,4159.649,B,0.5148682,0.1635373,0.5148682,0.0
-262601125,346.48407,29.965199,1.4914188,5.1838474,GALAXY,2055,3928.07,B,0.53314054,0.22526397,0.0,0.53314054
39628507709444221,245.88255,31.200125,6.2161293,5.1831756,QSO,0,7485.3105,Z,2.5904078,-0.026776947,0.0834733,2.5904078
39628433499624504,210.44725,27.826397,6.1613374,5.1621137,QSO,0,5587.719,Z,1.1441808,-0.0033017495,0.07293905,1.1441808
-70834426,115.47669,26.610271,2.2975552,5.1476765,QSO,2560,9177.6,B,1.4544656,1.4544656,0.647467,0.5094329
39633359558673225,260.76657,57.662605,2.84465,5.145529,QSO,2,3928.07,B,0.58765405,0.3744834,0.58765405,0.0
39627827561104370,33.0233,1.6996299,0.635515,5.145447,GALAXY,2,7603.2,Z,3.1327696,0.59986246,0.0,3.1327696
-105344261,17.69359,-15.663324,0.49829596,5.1441736,GALAXY,2560,9510.4,R,0.56636804,0.013543831,0.56636804,0.00056580256
39627951494402623,236.51001,6.6307483,0.13409851,5.1381154,GALAXY,6,3850.8772,B,0.5294064,-0.055302575,0.5294064,0.0
-208828520,274.01514,33.603455,1.5476962,5.133645,GALAXY,5,4082.456,B,0.5188847,0.079397514,0.5188847,0.0
39627551299079580,68.08169,-9.638539,0.8294947,5.1121383,GALAXY,2,4339.766,B,0.53897583,-0.007782918,0.53897583,0.0
616094008640275098,228.5126,50.517426,0.68450755,5.1093826,GALAXY,7,4262.573,B,0.5477414,0.5477414,0.0,0.13037172
39627796355486548,333.12527,0.23876004,1.4982146,5.0947495,GALAXY,2,3876.6082,B,0.69249356,0.08004763,0.0,0.69249356
-247831384,219.44745,-2.4371963,0.76323277,5.0726247,GALAXY,2049,3992.3977,R,0.53409904,0.05014484,0.53409904,-0.072019935
39627801988433102,308.77957,0.44574893,1.147767,5.063546,GALAXY,6,9318.4,B,0.5755077,0.5755077,0.0,0.0
39627855348374322,249.4674,2.6995544,5.7508874,5.0618944,QSO,0,7113.3105,Z,17.47263,-0.036373764,0.9031933,17.47263
39627772993213357,20.647776,-0.6006893,6.240768,5.0286164,QSO,0,7600.759,Z,0.71054655,-0.099599734,0.0,0.71054655
39628102162188316,349.3274,13.037775,0.7319082,5.0242023,GALAXY,6,4352.6313,B,0.66174716,-0.00984185,0.66174716,0.0
39628251416498850,251.40881,19.562885,0.31749916,5.02271,GALAXY,6,4339.766,B,0.50237757,-0.009293368,0.50237757,0.0
-245679006,61.0055,-8.262299,0.71552974,5.0126886,GALAXY,1,6305.1724,R,0.7357043,-0.014530484,0.7357043,0.2437002
-230681345,64.85304,-12.809718,0.10630806,5.0012074,GALAXY,2055,4404.0938,B,0.5414919,0.5414919,0.0,0.08433344
