targetid,z,zwarn,spectype,deltachi2
933823508381696,1.1868971478843886,4,GALAXY,7.754192411899567
1070066263130112,1.50305916834122,0,GALAXY,13.371773064136505
1070066263130117,1.320687017674555,4,GALAXY,1.5074105262756348
1070072240013313,1.4560611101087992,4,GALAXY,0.3138120621442795
1070072240013319,1.3629069340429696,4,GALAXY,5.966478005051613
1070072319705095,1.4487394605944006,4,GALAXY,1.9350858479738235
1070078409834501,1.6746591151555863,4,GALAXY,6.028489728592831
1070083761766401,0.3403897405159869,4,GALAXY,1.7921175118535757
1070084327997452,0.42077489541232255,4,GALAXY,5.028359793126583
1070084386717697,1.5248281534476438,4,GALAXY,2.3818981647491455
1070089805758468,1.4183279514644422,4,GALAXY,6.107539614778943
1070089805758472,1.3103720205623575,4,GALAXY,0.3325045108795166
1070089809952769,0.8387840625895095,4,GALAXY,0.26587897120043635
1070089864478733,1.0506068698199253,4,GALAXY,4.505546018481255
1070090426515458,1.4126731245648345,4,GALAXY,0.8935457564402896
1070090476847105,1.3980739144051197,0,GALAXY,9.550330579280853
1070101897936902,0.33829757452510195,4,GALAXY,2.824622370302677
1070101918908421,0.6082108523223907,4,GALAXY,2.5327541455626488
1070101948268552,1.3667000042485873,4,GALAXY,3.4583350140601397
1070108562685956,0.5793115669419966,4,GALAXY,1.1581368241459131
1070113985921031,0.38894308118684584,4,GALAXY,3.825861470773816
1070120025718790,0.4391696427138389,4,GALAXY,0.5224349573254585
1070120633892864,1.2070672629238166,4,GALAXY,0.8364297226071358
1070120633892868,1.6503444747400966,4,GALAXY,1.3168979287147522
1070126057127950,1.5429849589270994,4,GALAXY,1.8400605022907257
1070126115848192,1.2144596989054572,4,GALAXY,1.9651067033410072
1070126715633671,1.5315582299613137,4,GALAXY,2.515152744948864
1070131593609217,0.8681768091690059,4,GALAXY,3.571856789290905
1070132151451653,0.24370741554627884,4,GALAXY,0.7486151750199497
1070132654768146,1.2746614948120498,4,GALAXY,1.2643602341413498
1070132713488392,1.4835582982140907,4,GALAXY,3.2401080578565598
1070132768014337,1.3907538295146782,0,GALAXY,27.601306268945336
1070132768014347,1.3538997781444564,4,GALAXY,8.352506250143051
1070138191249413,1.5036169117094509,4,GALAXY,1.9670628011226654
1070138191249414,0.4693204513709536,4,GALAXY,1.492272287607193
1070138744897536,1.1622788985889723,4,GALAXY,2.186265766620636
1070138812006400,1.5278384194237962,4,GALAXY,6.419236540794373
1070144176521218,1.3972907907943777,4,GALAXY,2.4086478650569916
1070144235241472,1.1481292403636634,4,GALAXY,0.8168332353234291
1070144235241477,0.8197942644699951,4,GALAXY,1.5300597697496414
1070150212124672,1.393795554594034,4,GALAXY,2.1288946755230427
1070150270844933,1.1748465340735352,4,GALAXY,0.019857484847307205
1070150270844940,1.1611306659848712,4,GALAXY,0.4301237314939499
1070150270844941,0.6871122507097908,4,GALAXY,2.100163698196411
1070150270844946,0.8311847176198028,4,GALAXY,0.06005102023482323
1070150275039232,1.377625308190499,4,GALAXY,1.667639121413231
1070155782160389,1.518572792376488,4,GALAXY,1.9269272238016129
1070156893650952,1.541466516056815,4,GALAXY,1.5628043478354812
1070173880582150,0.8384044794087823,4,GALAXY,1.0369707490317523
1070185960177669,0.8218240822026477,4,GALAXY,1.601515844464302
1070185960177672,1.015349443830026,4,GALAXY,0.12143051356542856
1070187101028353,1.1928727277531028,4,GALAXY,3.183963820338249
1070192004169733,0.931552149698999,4,GALAXY,5.693557366728783
1070199155458050,0.7763446030330057,4,GALAXY,2.8194165378808975
1070199159652358,1.6690803523913182,4,GALAXY,3.5538051649928093
1070199163846661,0.09181065192910288,4,GALAXY,4.330256264191121
1070199168040976,1.1883084103161925,4,GALAXY,0.7636788934469223
1070199180623877,0.8770401318940516,4,GALAXY,0.24668854847550392
1070205199450113,1.5661494328824228,4,GALAXY,5.680625915527344
1070205199450117,1.5053954706602484,4,GALAXY,1.7114538848400116
1070205199450124,0.9608234716790407,4,GALAXY,6.031433284282684
1070211084058629,0.2001938675430844,4,GALAXY,2.4753705179318786
1070211088252929,1.1049744175909155,4,GALAXY,2.299306035041809
1070223142682630,1.549070806051675,4,GALAXY,1.5432106852531433
1070229195063302,2.467680956045342,4,QSO,6.270550539484248
1070235201306631,1.395292767010874,4,GALAXY,3.8066410422325134
1070253232619530,0.4518697813661332,4,GALAXY,0.08645592257380486
1070253232619534,1.6396104395297573,4,GALAXY,0.9751251041889191
1070253253591043,1.452487054067067,0,GALAXY,15.913787133991718
1070259272417281,0.8731236576549505,4,GALAXY,2.1425999477505684
1070259272417285,0.8117316685471869,4,GALAXY,2.495994070544839
1070265278660609,1.2873152755712054,4,GALAXY,2.1458528004586697
1070271272321030,0.7853313725984647,4,GALAXY,0.20501912385225296
1070271276515329,1.0580514382654915,4,GALAXY,2.5209274776279926
1070271289098246,0.5217418319455995,4,GALAXY,0.8458664268255234
1070672323280902,1.3992081385480646,4,GALAXY,4.5091786831617355
1070677855567874,0.31810498809815796,4,GALAXY,0.6195926647633314
1070688874004481,0.9757318884587645,4,GALAXY,2.9498475594446063
1070688911753218,0.24800828239586659,4,GALAXY,0.09726578742265701
1070699884052480,0.07650797015755108,4,QSO,1.5696320342394756
1070710818603008,1.5649919356010316,4,GALAXY,7.045079953968525
1070716262809606,1.3502549569630047,4,GALAXY,3.691302999854088
1070716279586816,0.7902079103159771,4,GALAXY,3.6507639065384865
1070721727987712,1.075664775048133,4,GALAXY,0.30331992357969284
1070721727987713,1.564339127027298,0,GALAXY,9.574606075882912
1070727151222785,0.06303588241268258,4,GALAXY,2.1194319995120168
1070727151222788,0.6384194582022513,4,GALAXY,4.3029609471559525
1070743378984965,1.2566958513858753,4,GALAXY,2.7506950348615646
1070743378984971,0.5598041583604425,4,GALAXY,2.310729152570275
