index,targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,matched_line,lab_wavelength,offset_angstrom,classification,is_unmatched,worst_band
25,39627689144878319,60.882930755615234,-3.9189870357513428,6.031698226928711,QSO,4.148690700531006,7628.7998046875,1084.92,Ly-beta,1026,58.92,High-z QSO Ly-beta anomaly,False,Z
26,39627618827372482,173.31982421875,-6.945831298828125,5.759707927703857,QSO,4.1384077072143555,7010.689453125,1037.13,Ly-beta,1026,11.13,High-z QSO Ly-beta anomaly,False,Z
27,39628405150321348,115.47437286376953,26.55527687072754,0.40093305706977844,QSO,4.099235534667969,9177.599609375,6551.06,H-alpha,6563,11.94,Low-z QSO anomaly near H-alpha,False,B
28,39633043958268336,175.9097137451172,38.14133834838867,5.806936740875244,QSO,4.060883522033691,7062.0,1037.47,Ly-beta,1026,11.47,High-z QSO Ly-beta anomaly,False,Z
29,39628353849789866,339.6763000488281,23.958824157714844,6.018681526184082,QSO,4.046412944793701,8409.599609375,1198.17,Ly-alpha,1216,17.83,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
30,39627920234254738,164.1633758544922,5.617367744445801,5.187510967254639,QSO,4.016964435577393,7667.2001953125,1239.14,NV,1240,0.86,High-z QSO NV emission anomaly,False,Z
31,39632956620278314,234.50143432617188,33.83927917480469,4.880449295043945,QSO,3.972905397415161,7228.7587890625,1229.29,NV,1240,10.71,High-z QSO NV emission anomaly,False,R
32,39628080880291871,130.62265014648438,12.314024925231934,5.990307807922363,QSO,3.9442031383514404,3632.163818359375,519.6,UNMATCHED,,506.4,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
33,39627677258221427,71.03224182128906,-4.559210300445557,5.928722858428955,QSO,3.930769443511963,8409.599609375,1213.73,Ly-alpha,1216,2.27,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
34,39627720937704358,157.9070281982422,-2.6599059104919434,5.86893367767334,QSO,3.9161510467529297,7062.0,1028.11,Ly-beta,1026,2.11,High-z QSO Ly-beta anomaly,False,Z
35,39627859341345585,127.28175354003906,3.0656943321228027,5.853536128997803,QSO,3.873929023742676,7087.6552734375,1034.16,Ly-beta,1026,8.16,High-z QSO Ly-beta anomaly,False,Z
36,39627832288090202,314.9212341308594,1.8015848398208618,5.255325794219971,QSO,3.8267014026641846,7667.2001953125,1225.71,Ly-alpha,1216,9.71,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
37,39627751191219230,161.13766479492188,-1.4172427654266357,5.785076141357422,QSO,3.8023123741149902,6933.72412109375,1021.91,Ly-beta,1026,4.09,High-z QSO Ly-beta anomaly,False,Z
38,39627905566769382,7.027352333068848,4.957057476043701,6.008457660675049,QSO,3.801936388015747,7526.39990234375,1073.9,Ly-beta,1026,47.9,High-z QSO Ly-beta anomaly,False,Z
39,39628203496572448,124.61415100097656,17.381088256835938,5.95452880859375,QSO,3.7651784420013428,3645.029296875,524.12,UNMATCHED,,501.88,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
40,39627792945518196,129.98074340820312,0.26507723331451416,5.839856147766113,QSO,3.7481091022491455,9740.7998046875,1424.12,SiIV,1397,27.12,High-z QSO anomaly near SiIV,False,Z
41,39628061544546696,34.18305206298828,11.458189010620117,2.928295612335205,QSO,3.7451674938201904,5587.71923828125,1422.43,SiIV,1397,25.43,Intermediate-z QSO anomaly near SiIV,False,B
42,39632995576973195,174.32383728027344,35.832454681396484,6.010812282562256,QSO,3.734060764312744,6792.62060546875,968.88,Ly-beta,1026,57.12,High-z QSO Ly-beta anomaly,False,Z
43,39627914618080691,188.18243408203125,5.214481353759766,5.487627983093262,QSO,3.7339677810668945,6600.20703125,1017.35,Ly-beta,1026,8.65,High-z QSO Ly-beta anomaly,False,Z
44,39628290016675473,182.2194366455078,21.176097869873047,5.0575151443481445,QSO,3.7297956943511963,7641.60009765625,1261.51,NV,1240,21.51,High-z QSO NV emission anomaly,False,Z
45,39627764340360333,224.80038452148438,-1.0989141464233398,3.9150359630584717,QSO,3.7034451961517334,7641.60009765625,1554.74,CIV,1549,5.74,Intermediate-z QSO CIV anomaly (BAL?),False,R
46,39627789988529182,313.527099609375,-0.08734394609928131,6.009199142456055,QSO,3.6492934226989746,4378.36279296875,624.66,UNMATCHED,,401.34,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
47,39632935845891703,196.59144592285156,32.70851516723633,-8.537208486814052e-05,STAR,3.641618490219116,8819.2001953125,8819.95,UNMATCHED,,157.95,Unidentified stellar anomaly,True,Z
48,39627519720164080,316.0526123046875,-11.360958099365234,-0.00016231180052272975,GALAXY,3.6400771141052246,9536.0,9537.55,UNMATCHED,,875.55,Unidentified stellar anomaly,True,B
49,39633152393611253,107.70769500732422,44.15154266357422,6.229721546173096,QSO,3.615532159805298,5780.70166015625,799.57,UNMATCHED,,226.43,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
50,39633390776879186,261.9625549316406,60.33121871948242,5.896046161651611,QSO,3.6006274223327637,8473.599609375,1228.76,NV,1240,11.24,High-z QSO NV emission anomaly,False,Z
51,39627802441421784,335.8721008300781,0.5609939694404602,1.1435269117355347,GALAXY,3.5880348682403564,9446.400390625,4406.94,H-gamma,4340,66.94,Galaxy anomaly near H-gamma,False,Z
52,39633052695007115,119.52059936523438,38.87226104736328,5.1982951164245605,QSO,3.5722620487213135,7654.39990234375,1234.92,NV,1240,5.08,High-z QSO NV emission anomaly,False,Z
53,39627791284572832,30.884933471679688,0.20811845362186432,5.8074631690979,QSO,3.564656972885132,8256.0,1212.79,Ly-alpha,1216,3.21,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
54,39628497290793707,242.4053192138672,30.696548461914062,6.14373254776001,QSO,3.5576605796813965,8832.0,1236.33,NV,1240,3.67,High-z QSO NV emission anomaly,False,Z
55,39627890509218524,187.30503845214844,4.324317455291748,5.886299133300781,QSO,3.5471017360687256,8473.599609375,1230.5,NV,1240,9.5,High-z QSO NV emission anomaly,False,Z
56,39627819013115998,243.6473388671875,1.2457727193832397,5.743200302124023,QSO,3.5342764854431152,6985.03466796875,1035.86,Ly-beta,1026,9.86,High-z QSO Ly-beta anomaly,False,Z
57,39627767536423204,55.42445373535156,-0.8035464882850647,5.672418594360352,QSO,3.5111377239227295,6908.06884765625,1035.32,Ly-beta,1026,9.32,High-z QSO Ly-beta anomaly,False,Z
58,2253920206323713,345.87200927734375,31.83919906616211,1.1157796382904053,GALAXY,3.4829180240631104,7603.2001953125,3593.57,UNMATCHED,,133.43,Galaxy UNMATCHED anomaly -- INVESTIGATE,True,Z
59,39627959685874696,7.8578081130981445,7.176933288574219,5.3167338371276855,QSO,3.410220146179199,7705.60009765625,1219.87,Ly-alpha,1216,3.87,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
60,39627932527758786,179.9033966064453,6.051600456237793,5.761492729187012,QSO,3.374035120010376,8102.39990234375,1198.32,Ly-alpha,1216,17.68,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
61,39628253614312428,30.122970581054688,19.760831832885742,5.981734275817871,QSO,3.3410050868988037,8486.400390625,1215.51,Ly-alpha,1216,0.49,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
62,39628043311910978,8.608341217041016,10.851778030395508,5.966185092926025,QSO,3.328521728515625,7616.0,1093.28,Ly-beta,1026,67.28,High-z QSO Ly-beta anomaly,False,Z
63,39627450681922793,63.311614990234375,-13.99331283569336,5.215756416320801,QSO,3.3263635635375977,7705.60009765625,1239.69,NV,1240,0.31,High-z QSO NV emission anomaly,False,Z
64,39627944577993383,181.90597534179688,6.502814292907715,6.013508319854736,QSO,3.3129069805145264,7526.39990234375,1073.13,Ly-beta,1026,47.13,High-z QSO Ly-beta anomaly,False,Z
65,39632941210403105,216.31805419921875,32.90266036987305,5.836573123931885,QSO,3.311357259750366,7036.3447265625,1029.22,Ly-beta,1026,3.22,High-z QSO Ly-beta anomaly,False,Z
66,39627663148586278,307.7635498046875,-5.195883750915527,5.7764410972595215,QSO,3.3061163425445557,4339.76611328125,640.42,UNMATCHED,,385.58,High-z QSO UNMATCHED anomaly -- INVESTIGATE,True,Z
67,39627731566072809,71.4507827758789,-2.3333075046539307,5.646880149841309,QSO,3.2985053062438965,8076.7998046875,1215.13,Ly-alpha,1216,0.87,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
68,39627817255702019,138.92507934570312,1.3075287342071533,5.3125786781311035,QSO,3.220674514770508,7705.60009765625,1220.67,Ly-alpha,1216,4.67,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
69,39633044079903364,185.13653564453125,38.14902114868164,3.845686435699463,QSO,3.207859754562378,5894.689453125,1216.48,Ly-alpha,1216,0.48,Intermediate-z QSO Ly-alpha anomaly,False,R
70,39628004959195676,210.82972717285156,9.04751205444336,5.783370018005371,QSO,3.203394889831543,9792.0,1443.53,SiIV,1397,46.53,High-z QSO anomaly near SiIV,False,Z
71,39627532483430286,9.73550796508789,-10.431636810302734,0.9566125869750977,GALAXY,3.181525945663452,8294.400390625,4239.16,CaI,4227,12.16,Galaxy anomaly near CaI,False,Z
72,39627721751396711,206.26075744628906,-2.8011152744293213,5.463813304901123,QSO,3.168541193008423,7859.2001953125,1215.88,Ly-alpha,1216,0.12,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
73,39627766190049872,335.0770263671875,-1.0296982526779175,5.5938496589660645,QSO,3.154050588607788,9446.400390625,1432.61,SiIV,1397,35.61,High-z QSO anomaly near SiIV,False,Z
74,39633040376337611,265.4046936035156,38.05724334716797,5.470409393310547,QSO,3.148261785507202,7872.0,1216.62,Ly-alpha,1216,0.62,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
75,39633358958888817,194.22557067871094,57.718505859375,1.6357827186584473,GALAXY,3.1352102756500244,3619.29833984375,1373.14,SiIV,1397,23.86,Galaxy anomaly near SiIV,False,R
76,39627727417903435,184.1012420654297,-2.5434365272521973,5.273669242858887,QSO,3.1256103515625,7705.60009765625,1228.24,NV,1240,11.76,High-z QSO NV emission anomaly,False,Z
77,39628207653126378,23.853986740112305,17.6746826171875,5.162413120269775,QSO,3.097036123275757,7590.39990234375,1231.73,NV,1240,8.27,High-z QSO NV emission anomaly,False,Z
78,39628186090213191,120.72953033447266,16.65423011779785,5.545322418212891,QSO,3.091765880584717,6805.4482421875,1039.74,Ly-beta,1026,13.74,High-z QSO Ly-beta anomaly,False,R
79,39628372619301075,127.38792419433594,25.11267852783203,5.343026161193848,QSO,3.0497188568115234,7718.39990234375,1216.83,Ly-alpha,1216,0.83,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
80,39627884632998116,196.534423828125,3.9406189918518066,5.982271671295166,QSO,3.0369982719421387,7526.39990234375,1077.93,Ly-beta,1026,51.93,High-z QSO Ly-beta anomaly,False,Z
81,39627592122237615,9.357331275939941,-8.119044303894043,5.7187018394470215,QSO,3.033914804458618,6946.5517578125,1033.91,Ly-beta,1026,7.91,High-z QSO Ly-beta anomaly,False,Z
82,39627591857997397,353.5417785644531,-8.283981323242188,5.415809154510498,QSO,3.014636516571045,7833.60009765625,1220.98,Ly-alpha,1216,4.98,High-z QSO Ly-alpha anomaly (IGM absorption?),False,Z
