targetid,z,spectype,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_offset,matched,anomaly_score
616088813365625169,1.4880385,GALAXY,3850.8772,1547.76,uv_emission_region,CIV,1.24,True,5.377855
39628007819707790,1.214317,GALAXY,4043.8596,1826.23,uv_emission_region,AlIII,30.77,True,5.3744903
39627766169077128,0.31475005,GALAXY,5793.5674,4406.59,optical_region,H-gamma,66.59,False,5.354324
39633454014403107,0.97514683,GALAXY,7718.4,3907.76,optical_region,CaII K,26.24,True,5.348118
39632931810971393,0.7946557,GALAXY,3889.4736,2167.25,uv_iron_region,FeII UV1 (2344),176.75,False,5.345388
-205913322,1.4748532,GALAXY,9792.0,3956.6,optical_region,CaII H,12.4,True,5.3276377
39627877410413480,1.6572453,GALAXY,4185.38,1575.08,uv_emission_region,CIV,26.08,True,5.3196645
-235499131,0.92545646,GALAXY,9484.8,4926.0,optical_region,[OIII] 4959,33.0,True,5.317001
39633191367084936,6.1956034,QSO,5804.8965,806.73,sub_lyman_limit,Ly-limit (912A),105.27,False,5.3006854
39633127475250050,1.6364126,GALAXY,5792.069,2196.95,uv_iron_region,FeII UV1 (2344),147.05,False,5.2992415
39627851875488435,0.78676397,GALAXY,3619.2983,2025.62,uv_iron_region,CIII],116.62,False,5.28213
-203651076,0.51724297,GALAXY,4095.3215,2699.19,uv_iron_region,MgII 2796,96.81,False,5.25739
39627543703195060,0.3079094,GALAXY,4095.3215,3131.2,optical_region,MgI 2853,278.2,False,5.2572217
39628257338853539,0.8608376,GALAXY,4365.497,2345.98,uv_iron_region,FeII UV1 (2344),1.98,True,5.2554855
-240394121,1.5352013,GALAXY,9484.8,3741.24,optical_region,[OII],14.24,True,5.2543325
39627989616427941,0.9354298,GALAXY,3850.8772,1989.68,uv_iron_region,CIII],80.68,False,5.2369213
39627817775793900,5.782094,QSO,6908.069,1018.57,lyman_forest_region,Ly-beta,7.43,True,5.23638
-29754122,0.78143615,GALAXY,3979.5322,2233.89,uv_iron_region,FeII UV1 (2344),110.11,False,5.2330008
39627854434012501,0.50405806,GALAXY,4365.497,2902.48,uv_iron_region,MgI 2853,49.48,True,5.2315207
39628336116275738,0.76352596,GALAXY,4416.959,2504.62,uv_iron_region,FeII UV3 (2587),82.38,False,5.225257
-18828520,-0.0018679446,GALAXY,3889.4736,3896.75,optical_region,[NeIII],27.75,True,5.2194276
39633169590258797,1.6367761,GALAXY,5792.069,2196.65,uv_iron_region,FeII UV1 (2344),147.35,False,5.2095127
39628007781959551,-4.2177802e-05,STAR,4159.649,4159.82,optical_region,H-delta,57.82,False,5.189483
-262601125,1.4914188,GALAXY,3928.07,1576.64,uv_emission_region,CIV,27.64,True,5.1838474
39628507709444221,6.2161293,QSO,7485.3105,1037.3,lyman_forest_region,Ly-beta,11.3,True,5.1831756
39628433499624504,6.1613374,QSO,5587.719,780.26,sub_lyman_limit,Ly-limit (912A),131.74,False,5.1621137
-70834426,2.2975552,QSO,9177.6,2783.15,uv_iron_region,MgII 2796,12.85,True,5.1476765
39633359558673225,2.84465,QSO,3928.07,1021.7,lyman_forest_region,Ly-beta,4.3,True,5.145529
39627827561104370,0.635515,GALAXY,7603.2,4648.81,optical_region,H-beta,212.19,False,5.145447
-105344261,0.49829596,GALAXY,9510.4,6347.48,optical_region,[OI],47.48,True,5.1441736
39627951494402623,0.13409851,GALAXY,3850.8772,3395.54,optical_region,[OII],331.46,False,5.1381154
-208828520,1.5476962,GALAXY,4082.456,1602.41,uv_emission_region,HeII,37.59,True,5.133645
39627551299079580,0.8294947,GALAXY,4339.766,2372.11,uv_iron_region,FeII UV2 (2383),10.89,True,5.1121383
616094008640275098,0.68450755,GALAXY,4262.573,2530.46,uv_iron_region,FeII UV3 (2587),56.54,False,5.1093826
39627796355486548,1.4982146,GALAXY,3876.6082,1551.75,uv_emission_region,CIV,2.75,True,5.0947495
-247831384,0.76323277,GALAXY,3992.3977,2264.25,uv_iron_region,FeII UV1 (2344),79.75,False,5.0726247
39627801988433102,1.147767,GALAXY,9318.4,4338.65,optical_region,H-gamma,1.35,True,5.063546
39627855348374322,5.7508874,QSO,7113.3105,1053.69,lyman_forest_region,Ly-beta,27.69,True,5.0618944
39627772993213357,6.240768,QSO,7600.759,1049.72,lyman_forest_region,Ly-beta,23.72,True,5.0286164
39628102162188316,0.7319082,GALAXY,4352.6313,2513.2,uv_iron_region,FeII UV3 (2587),73.8,False,5.0242023
39628251416498850,0.31749916,GALAXY,4339.766,3293.94,optical_region,[OII],433.06,False,5.02271
-245679006,0.71552974,GALAXY,6305.1724,3675.35,optical_region,[OII],51.65,False,5.0126886
-230681345,0.10630806,GALAXY,4404.0938,3980.89,optical_region,CaII H,11.89,True,5.0012074
