targetid,ra,dec,z,spectype,anomaly_score,obs_wavelength,rest_wavelength,rest_region,extended_match,ext_lab_wavelength,ext_offset,matched,physical_interpretation,worst_band
39627959685874696,7.8578081130981445,7.176933288574219,5.3167338371276855,QSO,3.410220146179199,7705.60009765625,1219.87,uv_emission_region,Ly-alpha,1216,3.87,True,UV emission match: Ly-alpha (offset 4A),Z
39627932527758786,179.9033966064453,6.051600456237793,5.761492729187012,QSO,3.374035120010376,8102.39990234375,1198.32,lyman_forest_region,Ly-alpha,1216,17.68,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628253614312428,30.122970581054688,19.760831832885742,5.981734275817871,QSO,3.3410050868988037,8486.400390625,1215.51,lyman_forest_region,Ly-alpha,1216,0.49,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39628043311910978,8.608341217041016,10.851778030395508,5.966185092926025,QSO,3.328521728515625,7616.0,1093.28,lyman_forest_region,Ly-beta,1026,67.28,False,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627450681922793,63.311614990234375,-13.99331283569336,5.215756416320801,QSO,3.3263635635375977,7705.60009765625,1239.69,uv_emission_region,NV,1240,0.31,True,UV emission match: NV (offset 0A),Z
39627944577993383,181.90597534179688,6.502814292907715,6.013508319854736,QSO,3.3129069805145264,7526.39990234375,1073.13,lyman_forest_region,Ly-beta,1026,47.13,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39632941210403105,216.31805419921875,32.90266036987305,5.836573123931885,QSO,3.311357259750366,7036.3447265625,1029.22,lyman_forest_region,Ly-beta,1026,3.22,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627663148586278,307.7635498046875,-5.195883750915527,5.7764410972595215,QSO,3.3061163425445557,4339.76611328125,640.42,sub_lyman_limit,Ly-limit (912A),912,271.58,False,Deep sub-LL: Lyman continuum leaker candidate or z error,Z
39627731566072809,71.4507827758789,-2.3333075046539307,5.646880149841309,QSO,3.2985053062438965,8076.7998046875,1215.13,lyman_forest_region,Ly-alpha,1216,0.87,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627817255702019,138.92507934570312,1.3075287342071533,5.3125786781311035,QSO,3.220674514770508,7705.60009765625,1220.67,uv_emission_region,Ly-alpha,1216,4.67,True,UV emission match: Ly-alpha (offset 5A),Z
39633044079903364,185.13653564453125,38.14902114868164,3.845686435699463,QSO,3.207859754562378,5894.689453125,1216.48,uv_emission_region,Ly-alpha,1216,0.48,True,UV emission match: Ly-alpha (offset 0A),R
39628004959195676,210.82972717285156,9.04751205444336,5.783370018005371,QSO,3.203394889831543,9792.0,1443.53,uv_emission_region,SiIV 1403,1403,40.53,True,UV emission match: SiIV 1403 (offset 41A),Z
39627532483430286,9.73550796508789,-10.431636810302734,0.9566125869750977,GALAXY,3.181525945663452,8294.400390625,4239.16,optical_region,H-gamma,4340,100.84,False,Optical region: no standard line match,Z
39627721751396711,206.26075744628906,-2.8011152744293213,5.463813304901123,QSO,3.168541193008423,7859.2001953125,1215.88,lyman_forest_region,Ly-alpha,1216,0.12,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627766190049872,335.0770263671875,-1.0296982526779175,5.5938496589660645,QSO,3.154050588607788,9446.400390625,1432.61,uv_emission_region,SiIV 1403,1403,29.61,True,UV emission match: SiIV 1403 (offset 30A),Z
39633040376337611,265.4046936035156,38.05724334716797,5.470409393310547,QSO,3.148261785507202,7872.0,1216.62,uv_emission_region,Ly-alpha,1216,0.62,True,UV emission match: Ly-alpha (offset 1A),Z
39633358958888817,194.22557067871094,57.718505859375,1.6357827186584473,GALAXY,3.1352102756500244,3619.29833984375,1373.14,uv_emission_region,SiIV 1394,1394,20.86,True,UV emission match: SiIV 1394 (offset 21A),R
39627727417903435,184.1012420654297,-2.5434365272521973,5.273669242858887,QSO,3.1256103515625,7705.60009765625,1228.24,uv_emission_region,NV,1240,11.76,True,UV emission match: NV (offset 12A),Z
39628207653126378,23.853986740112305,17.6746826171875,5.162413120269775,QSO,3.097036123275757,7590.39990234375,1231.73,uv_emission_region,NV,1240,8.27,True,UV emission match: NV (offset 8A),Z
39628186090213191,120.72953033447266,16.65423011779785,5.545322418212891,QSO,3.091765880584717,6805.4482421875,1039.74,lyman_forest_region,Ly-beta,1026,13.74,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,R
39628372619301075,127.38792419433594,25.11267852783203,5.343026161193848,QSO,3.0497188568115234,7718.39990234375,1216.83,uv_emission_region,Ly-alpha,1216,0.83,True,UV emission match: Ly-alpha (offset 1A),Z
39627884632998116,196.534423828125,3.9406189918518066,5.982271671295166,QSO,3.0369982719421387,7526.39990234375,1077.93,lyman_forest_region,Ly-beta,1026,51.93,False,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627592122237615,9.357331275939941,-8.119044303894043,5.7187018394470215,QSO,3.033914804458618,6946.5517578125,1033.91,lyman_forest_region,Ly-beta,1026,7.91,True,Lyman forest region: possible unusual IGM absorption or Ly-beta/Ly-gamma feature,Z
39627591857997397,353.5417785644531,-8.283981323242188,5.415809154510498,QSO,3.014636516571045,7833.60009765625,1220.98,uv_emission_region,Ly-alpha,1216,4.98,True,UV emission match: Ly-alpha (offset 5A),Z
