==============================================================================
ROW 11(b): compaction scan extended to gamma_cr in [0.2, 1.0]
==============================================================================
wide-grid integrator vs committed integrator: max rel. diff 5.74e-16 (must be << 1e-6)

--- family L: lognormal(Delta, r_p k_p) ---
   Delta  rp*kp  C_th  gamma_cr      A(0)  A(-35/16)  A(-35/8)   ratio
    0.9649      1e-08   0.75   0.4    0.1958    0.0355     0.0032    0.0017  1.8743
    0.9649      1e-08   0.75   0.5    0.1958    0.0656     0.0044    0.0023  1.8925
    0.9649      1e-08   0.75   0.6    0.1958    0.1228     0.0062    0.0033  1.9083
    0.9649      1e-08    1.0   0.4    0.1979    0.0351     0.0032    0.0017  1.8737
    0.9649      1e-08    1.0   0.5    0.1979    0.0649     0.0044    0.0023  1.8919
    0.9649      1e-08    1.0   0.6    0.1979    0.1216     0.0063    0.0033  1.9078
    0.9649      1e-07   0.75   0.4    0.2137    0.0355     0.0035    0.0019  1.8685
    0.9649      1e-07   0.75   0.5    0.2137    0.0656     0.0049    0.0026  1.8876
    0.9649      1e-07   0.75   0.6    0.2137    0.1228     0.0069    0.0036  1.9041
    0.9649      1e-07    1.0   0.4    0.2162    0.0351     0.0035    0.0019  1.8677
    0.9649      1e-07    1.0   0.5    0.2162    0.0649     0.0049    0.0026  1.8869
    0.9649      1e-07    1.0   0.6    0.2162    0.1216     0.0069    0.0036  1.9035
    0.9649      1e-06   0.75   0.4    0.2355    0.0355     0.0039    0.0021  1.8617
    0.9649      1e-06   0.75   0.5    0.2355    0.0656     0.0055    0.0029  1.8817
    0.9649      1e-06   0.75   0.6    0.2355    0.1228     0.0078    0.0041  1.8991
    0.9649      1e-06    1.0   0.4    0.2385    0.0351     0.0039    0.0021  1.8607
    0.9649      1e-06    1.0   0.5    0.2385    0.0649     0.0055    0.0029  1.8809
    0.9649      1e-06    1.0   0.6    0.2385    0.1216     0.0078    0.0041  1.8985
    0.9649      1e-05   0.75   0.4    0.2629    0.0355     0.0045    0.0024  1.8534
    0.9649      1e-05   0.75   0.5    0.2629    0.0656     0.0063    0.0034  1.8747
    0.9649      1e-05   0.75   0.6    0.2629    0.1228     0.0089    0.0047  1.8932
    0.9649      1e-05    1.0   0.4    0.2668    0.0351     0.0045    0.0024  1.8523
    0.9649      1e-05    1.0   0.5    0.2668    0.0649     0.0064    0.0034  1.8738
    0.9649      1e-05    1.0   0.6    0.2668    0.1216     0.0090    0.0048  1.8924
    0.9649      1e-04   0.75   0.4    0.2990    0.0355     0.0052    0.0028  1.8431
    0.9649      1e-04   0.75   0.5    0.2990    0.0656     0.0074    0.0040  1.8660
    0.9649      1e-04   0.75   0.6    0.2990    0.1228     0.0105    0.0056  1.8858
    0.9649      1e-04    1.0   0.4    0.3044    0.0351     0.0053    0.0029  1.8416
    0.9649      1e-04    1.0   0.5    0.3044    0.0649     0.0075    0.0040  1.8647
    0.9649      1e-04    1.0   0.6    0.3044    0.1216     0.0107    0.0057  1.8847
    0.9649      1e-03   0.75   0.4    0.3501    0.0355     0.0065    0.0035  1.8292
    0.9649      1e-03   0.75   0.5    0.3501    0.0656     0.0092    0.0050  1.8542
    0.9649      1e-03   0.75   0.6    0.3501    0.1228     0.0131    0.0070  1.8759
    0.9649      1e-03    1.0   0.4    0.3581    0.0351     0.0066    0.0036  1.8271
    0.9649      1e-03    1.0   0.5    0.3581    0.0649     0.0094    0.0051  1.8525
    0.9649      1e-03    1.0   0.6    0.3581    0.1216     0.0134    0.0071  1.8744
    0.9649      1e-02   0.75   0.4    0.4318    0.0355     0.0088    0.0049  1.8085
    0.9649      1e-02   0.75   0.5    0.4318    0.0656     0.0126    0.0069  1.8367
    0.9649      1e-02   0.75   0.6    0.4318    0.1228     0.0180    0.0097  1.8611
    0.9649      1e-02    1.0   0.4    0.4459    0.0351     0.0092    0.0051  1.8050
    0.9649      1e-02    1.0   0.5    0.4459    0.0649     0.0132    0.0072  1.8338
    0.9649      1e-02    1.0   0.6    0.4459    0.1216     0.0188    0.0101  1.8587
    0.9649      3e-02   0.75   0.4    0.4932    0.0355     0.0111    0.0062  1.7936
    0.9649      3e-02   0.75   0.5    0.4932    0.0656     0.0159    0.0087  1.8243
    0.9649      3e-02   0.75   0.6    0.4932    0.1228     0.0227    0.0123  1.8507
    0.9649      3e-02    1.0   0.4    0.5134    0.0351     0.0118    0.0066  1.7888
    0.9649      3e-02    1.0   0.5    0.5134    0.0649     0.0169    0.0093  1.8203
    0.9649      3e-02    1.0   0.6    0.5134    0.1216     0.0243    0.0131  1.8473
    0.9649      1e-01   0.75   0.4    0.5963    0.0355     0.0162    0.0092  1.7692
    0.9649      1e-01   0.75   0.5    0.5963    0.0656     0.0234    0.0130  1.8039
    0.9649      1e-01   0.75   0.6    0.5963    0.1228     0.0338    0.0184  1.8336
    0.9649      1e-01    1.0   0.4    0.6298    0.0351     0.0183    0.0104  1.7611
    0.9649      1e-01    1.0   0.5    0.6298    0.0649     0.0265    0.0148  1.7972
    0.9649      1e-01    1.0   0.6    0.6298    0.1216     0.0383    0.0210  1.8281
    0.9649      3e-01   0.75   0.4    0.7506    0.0355     0.0322    0.0186  1.7294
    0.9649      3e-01   0.75   0.5    0.7506    0.0657     0.0471    0.0266  1.7710
    0.9649      3e-01   0.75   0.6    0.7506    0.1230     0.0686    0.0380  1.8064
    0.9649      3e-01    1.0   0.4    0.8027    0.0353     0.0435    0.0254  1.7131
    0.9649      3e-01    1.0   0.5    0.8027    0.0652     0.0638    0.0363  1.7576
    0.9649      3e-01    1.0   0.6    0.8027    0.1222     0.0932    0.0519  1.7954
       1.0      1e-08   0.75   0.4    0.2305    0.0349     0.0038    0.0020  1.8624
       1.0      1e-08   0.75   0.5    0.2305    0.0645     0.0053    0.0028  1.8823
       1.0      1e-08   0.75   0.6    0.2305    0.1209     0.0075    0.0040  1.8996
       1.0      1e-08    1.0   0.4    0.2323    0.0349     0.0038    0.0021  1.8618
       1.0      1e-08    1.0   0.5    0.2323    0.0645     0.0054    0.0029  1.8819
       1.0      1e-08    1.0   0.6    0.2323    0.1209     0.0076    0.0040  1.8992
       1.0      1e-07   0.75   0.4    0.2460    0.0349     0.0041    0.0022  1.8576
       1.0      1e-07   0.75   0.5    0.2460    0.0645     0.0058    0.0031  1.8783
       1.0      1e-07   0.75   0.6    0.2460    0.1209     0.0082    0.0043  1.8962
       1.0      1e-07    1.0   0.4    0.2482    0.0349     0.0041    0.0022  1.8569
       1.0      1e-07    1.0   0.5    0.2482    0.0645     0.0058    0.0031  1.8777
       1.0      1e-07    1.0   0.6    0.2482    0.1209     0.0082    0.0044  1.8957
