tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-32477377,40.441761,-6.024939,11.313,B,3.5984,2.6728,0.1929,17.674999237060547,16.83300018310547,12.130999565124512,8.89799976348877,0.842,AllWISE,,,,,,,22.065000534057617,22.683000564575195,21.570999145507812,21.576000213623047,21.88999938964844,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-208495053,316.686973,9.405013,11.307,B,3.9872,2.3323,0.2001,18.371000289916992,17.05500030517578,,,1.316,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-231351263,25.618452,-0.60502,11.305,B,3.7629,0.2629,2.1229,17.423999786376953,16.55699920654297,12.4350004196167,8.803999900817871,0.867,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-250295052,64.493069,0.045146,11.296,B,4.0344,2.2364,0.177,18.211999893188477,17.034000396728516,,,1.178,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-232964167,10.044193,0.444239,11.289,B,4.0646,0.3505,1.7704,18.200000762939453,17.079999923706055,,,1.12,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-219785052,247.865461,4.996679,11.251,B,4.1404,2.0152,0.1944,17.299999237060547,16.448999404907227,12.232999801635742,8.588000297546387,0.851,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-258175052,192.555848,6.183803,11.234,B,4.0824,2.0716,0.1987,18.04700088500977,17.204999923706055,,,0.842,CatWISE2020,,,,,,,23.343000411987305,22.479000091552734,20.659000396728516,20.701000213623047,19.756999969482425,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-214774174,58.526608,-6.910933,11.216,B,4.1485,0.2287,1.5853,18.29400062561035,17.198999404907227,,,1.095,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-236115449,171.806218,5.835933,11.205,B,4.0293,2.2269,0.2808,17.520000457763672,16.56399917602539,12.388999938964844,8.928999900817871,0.956,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-101354221,143.249499,62.226885,11.194,B,4.1892,0.2624,1.4423,17.930999755859375,16.4950008392334,,,1.436,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-241184221,116.245576,45.321003,11.185,B,4.2236,0.2858,1.466,18.368000030517575,17.195999145507812,,,1.172,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-221843072,168.567332,50.88296,11.175,B,4.1813,2.0017,0.2188,18.040000915527344,17.000999450683594,,,1.039,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-216883135,206.840065,4.172757,11.169,B,4.0775,0.2022,1.7219,17.7549991607666,16.947999954223633,12.656000137329102,9.229999542236328,0.807,AllWISE,,,,,,,23.299999237060547,23.57699966430664,21.770000457763672,21.152000427246097,20.958999633789062,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-230507377,69.09588,-3.688771,11.168,B,3.9598,2.2951,0.2417,17.892000198364258,16.666000366210938,,,1.226,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-215745449,182.368174,68.863283,11.168,B,3.9045,2.4781,0.2011,18.916000366210938,17.899999618530273,,,1.016,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-222641094,31.798584,2.557885,11.158,B,3.9092,0.2307,1.836,18.21500015258789,17.375999450683594,,,0.839,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-213078111,108.831462,67.119747,11.142,B,4.4171,0.2442,1.3061,18.3439998626709,17.444000244140625,,,0.9,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-56787261,160.098879,-2.028508,11.139,B,3.5336,2.8442,0.2523,18.266000747680664,17.354999542236328,,,0.911,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-210441384,7.360029,6.334353,11.135,B,3.9699,0.2664,1.5892,17.23200035095215,16.351999282836914,12.454999923706056,8.972999572753906,0.88,AllWISE,,,,,,,25.750999450683594,22.80900001525879,21.933000564575195,21.31999969482422,20.87700080871582,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-237334164,175.531001,54.44851,11.132,B,4.2721,0.195,1.4879,19.0,17.454999923706055,,,1.545,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-259604367,349.931915,1.637792,11.103,B,3.8205,0.2241,1.9335,17.850000381469727,16.715999603271484,,,1.134,CatWISE2020,,,,,,,22.63800048828125,22.15800094604492,21.79800033569336,21.795000076293945,21.777000427246097,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-41365449,230.020689,36.428041,11.083,B,3.8591,2.2379,0.3026,18.308000564575195,17.43000030517578,,,0.878,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
616094016173245530,215.655182,51.101032,11.076,R,0.4253,4.2151,2.2823,18.19099998474121,17.190000534057617,,,1.001,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-250761006,148.494702,44.299373,11.058,B,4.2289,0.607,1.3943,16.3439998626709,15.524999618530272,12.406999588012695,8.446000099182129,0.819,AllWISE,,,,,,,24.486000061035156,23.083999633789062,22.160999298095703,21.44300079345703,20.579999923706055,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-69075449,210.994403,34.543989,11.051,B,4.0376,2.0227,0.3372,19.510000228881836,16.89299964904785,,,2.617,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-212354308,350.630148,2.311386,11.032,B,4.0163,0.2226,1.6993,18.275999069213867,17.339000701904297,,,0.937,CatWISE2020,,,,,,,23.917999267578125,23.104000091552734,22.89800071716309,23.572999954223633,21.76799964904785,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-41057377,138.433919,5.744109,11.032,B,3.6938,2.5794,0.3828,18.364999771118164,17.3439998626709,,,1.021,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-260064121,113.677415,66.944902,11.027,B,4.3655,0.5552,1.4232,18.263999938964844,17.270000457763672,,,0.994,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-205915449,181.645958,1.163962,11.015,B,4.1669,2.0319,0.2718,18.416000366210938,17.586000442504883,,,0.83,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-222727261,27.849748,1.647183,11.002,B,3.9558,2.2468,0.2591,18.06599998474121,16.895000457763672,,,1.171,CatWISE2020,,,,,,,24.1560001373291,23.781999588012695,22.082000732421875,22.16900062561035,22.12299919128418,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
39628276250970691,24.699975,20.669262,10.998,B,4.0247,2.1726,0.2155,17.71299934387207,16.735000610351562,12.642000198364258,9.144000053405762,0.978,AllWISE,-0.0712,0.3598000109195709,0.67,-2.847,19.4512996673584,0.0,24.606000900268555,20.173999786376953,19.375999450683594,19.190000534057617,18.93899917602539,,0,,,1,1,1,1,QSO_CANDIDATE,SILVER
-230867403,152.617558,9.34625,10.989,B,4.0543,2.054,0.186,18.733999252319336,17.399999618530273,,,1.334,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-211394173,180.072752,3.616785,10.988,B,3.9456,0.3042,1.6827,17.875,16.840999603271484,,,1.034,CatWISE2020,,,,,,,22.92300033569336,22.040000915527344,21.454999923706055,21.32699966430664,20.753999710083008,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-214847261,66.474994,-4.508646,10.978,B,3.9309,1.9184,0.4608,17.305999755859375,16.246999740600586,12.590999603271484,8.767999649047852,1.059,AllWISE,,,,,,,27.447999954223633,23.684999465942383,22.25900077819824,21.472999572753903,20.52300071716309,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-100607470,358.120563,14.57668,10.972,B,3.8085,2.4931,0.236,17.354000091552734,16.44099998474121,12.194000244140623,8.677000045776367,0.913,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,SILVER
-215317192,131.372858,0.692311,10.964,B,3.7548,2.3802,0.2033,17.638999938964844,16.538999557495117,,,1.1,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-223721221,322.906253,6.093021,10.964,B,4.3002,0.2565,1.3414,17.551000595092773,16.607999801635742,,,0.943,CatWISE2020,,,,,,,24.222000122070312,23.424999237060547,22.75900077819824,22.409000396728516,22.30699920654297,,0,,,1,0,1,1,QSO_CANDIDATE,SILVER
-204253135,262.411908,15.373234,10.958,B,4.3071,0.2485,1.5593,18.858999252319336,17.15399932861328,,,1.705,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
