tid,ra,dec,anomaly_score,worst_band,residual_B,residual_R,residual_Z,W1mag,W2mag,W3mag,W4mag,W1_W2,wise_source,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,likely_star,sdss_umag,sdss_gmag,sdss_rmag,sdss_imag,sdss_zmag,sdss_class,known_qso,qso_type,qso_z,has_wise,has_gaia,has_sdss,in_any_catalog,classification,qso_confidence
-241737261,13.94093,2.866427,11.412,B,4.1082,2.048,0.252,17.07900047302246,15.86400032043457,12.27400016784668,8.248000144958496,1.215,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-240404221,269.679371,35.815545,11.404,B,4.0711,0.2074,1.8017,18.309999465942383,17.114999771118164,,,1.195,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-205324519,350.91453,-6.124296,11.346,B,4.1024,0.2945,1.596,17.079999923706055,16.017000198364258,12.508999824523926,8.765000343322754,1.063,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-208495053,316.686973,9.405013,11.307,B,3.9872,2.3323,0.2001,18.371000289916992,17.05500030517578,,,1.316,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-250295052,64.493069,0.045146,11.296,B,4.0344,2.2364,0.177,18.211999893188477,17.034000396728516,,,1.178,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-232964167,10.044193,0.444239,11.289,B,4.0646,0.3505,1.7704,18.200000762939453,17.079999923706055,,,1.12,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-214774174,58.526608,-6.910933,11.216,B,4.1485,0.2287,1.5853,18.29400062561035,17.198999404907227,,,1.095,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-101354221,143.249499,62.226885,11.194,B,4.1892,0.2624,1.4423,17.930999755859375,16.4950008392334,,,1.436,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-241184221,116.245576,45.321003,11.185,B,4.2236,0.2858,1.466,18.368000030517575,17.195999145507812,,,1.172,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-221843072,168.567332,50.88296,11.175,B,4.1813,2.0017,0.2188,18.040000915527344,17.000999450683594,,,1.039,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-230507377,69.09588,-3.688771,11.168,B,3.9598,2.2951,0.2417,17.892000198364258,16.666000366210938,,,1.226,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-215745449,182.368174,68.863283,11.168,B,3.9045,2.4781,0.2011,18.916000366210938,17.899999618530273,,,1.016,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-237334164,175.531001,54.44851,11.132,B,4.2721,0.195,1.4879,19.0,17.454999923706055,,,1.545,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-259604367,349.931915,1.637792,11.103,B,3.8205,0.2241,1.9335,17.850000381469727,16.715999603271484,,,1.134,CatWISE2020,,,,,,,22.63800048828125,22.15800094604492,21.79800033569336,21.795000076293945,21.777000427246097,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
616094016173245530,215.655182,51.101032,11.076,R,0.4253,4.2151,2.2823,18.19099998474121,17.190000534057617,,,1.001,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-69075449,210.994403,34.543989,11.051,B,4.0376,2.0227,0.3372,19.510000228881836,16.89299964904785,,,2.617,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-41057377,138.433919,5.744109,11.032,B,3.6938,2.5794,0.3828,18.364999771118164,17.3439998626709,,,1.021,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-222727261,27.849748,1.647183,11.002,B,3.9558,2.2468,0.2591,18.06599998474121,16.895000457763672,,,1.171,CatWISE2020,,,,,,,24.1560001373291,23.781999588012695,22.082000732421875,22.16900062561035,22.12299919128418,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-230867403,152.617558,9.34625,10.989,B,4.0543,2.054,0.186,18.733999252319336,17.399999618530273,,,1.334,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-211394173,180.072752,3.616785,10.988,B,3.9456,0.3042,1.6827,17.875,16.840999603271484,,,1.034,CatWISE2020,,,,,,,22.92300033569336,22.040000915527344,21.454999923706055,21.32699966430664,20.753999710083008,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-214847261,66.474994,-4.508646,10.978,B,3.9309,1.9184,0.4608,17.305999755859375,16.246999740600586,12.590999603271484,8.767999649047852,1.059,AllWISE,,,,,,,27.447999954223633,23.684999465942383,22.25900077819824,21.472999572753903,20.52300071716309,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-215317192,131.372858,0.692311,10.964,B,3.7548,2.3802,0.2033,17.638999938964844,16.538999557495117,,,1.1,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-204253135,262.411908,15.373234,10.958,B,4.3071,0.2485,1.5593,18.858999252319336,17.15399932861328,,,1.705,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-11975449,229.960105,17.151064,10.913,B,3.8069,2.4549,0.2047,18.19099998474121,17.143999099731445,,,1.047,CatWISE2020,,,,,,,24.863000869750977,23.347999572753903,22.30900001525879,22.04199981689453,21.4060001373291,,0,,,1,0,1,1,QSO_CANDIDATE,GOLD
-250897261,161.96392,49.968528,10.905,B,4.1041,1.8604,0.2024,18.243000030517575,17.06100082397461,,,1.182,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-28186232,238.882612,31.94231,10.873,B,4.0721,1.8901,0.1925,18.073999404907227,16.650999069213867,12.586000442504885,8.847999572753906,1.423,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-61435449,173.490576,12.701917,10.853,B,3.7363,2.4633,0.2029,17.7189998626709,16.58300018310547,12.229000091552734,8.585000038146973,1.136,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-31037261,358.815123,-5.65764,10.818,B,3.8316,2.4591,0.2104,17.22100067138672,16.104000091552734,12.305999755859377,8.765999794006348,1.117,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-14255449,263.080135,16.420155,10.775,B,3.8779,2.238,0.3199,18.593000411987305,17.573999404907227,,,1.019,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-14175052,248.155565,14.729462,10.739,B,3.8988,1.8453,0.3566,17.777999877929688,16.75200080871582,12.164999961853027,8.6850004196167,1.026,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-19405449,123.41427,44.961964,10.728,B,3.7558,2.3115,0.2893,18.768999099731445,16.961000442504883,,,1.808,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-87674367,70.391376,0.621307,10.723,B,3.7804,0.2248,1.9525,18.64800071716309,17.535999298095703,,,1.112,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-204817377,161.996067,12.174507,10.713,B,4.0214,1.9969,0.3132,18.621000289916992,17.520000457763672,,,1.101,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-105531256,24.256368,-0.643405,10.71,B,3.4763,0.1913,2.1939,19.516000747680664,17.333999633789062,,,2.182,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-239561237,321.644315,-0.214625,10.659,B,3.8381,0.3557,1.8058,18.062000274658203,16.945999145507812,,,1.116,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
616093733737202425,222.706865,35.031228,10.639,R,0.3978,3.3719,2.9229,17.958999633789062,16.93600082397461,13.112000465393066,8.883000373840332,1.023,AllWISE,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
-247704025,319.759479,14.109215,10.619,B,4.058,0.2967,1.4692,18.083999633789062,16.961999893188477,,,1.122,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
616093984397197994,160.06379,49.011244,10.599,B,3.7757,2.3803,0.3236,18.423999786376953,17.156999588012695,,,1.267,CatWISE2020,,,,,,,,,,,,,0,,,1,0,0,1,QSO_CANDIDATE,GOLD
