======================================================================
DESI DR1 FULL-SCALE INFERENCE — H200 GPU
======================================================================
Model loaded on H200 (150 GB VRAM)

Mapping DESI DR1 pixels...
Total DR1 main survey pixels: 27488
Estimated spectra: ~17M

Processing with 8 parallel downloads...
  [11000/27488] 7843458 spectra, 44555 anomalies, 886 spec/s, ETA: 3.7h
  [11100/27488] 7929492 spectra, 44981 anomalies, 887 spec/s, ETA: 3.7h
  [11200/27488] 7976602 spectra, 45172 anomalies, 887 spec/s, ETA: 3.6h
  [11300/27488] 8032273 spectra, 45379 anomalies, 887 spec/s, ETA: 3.6h
  [11400/27488] 8063872 spectra, 45504 anomalies, 886 spec/s, ETA: 3.6h
  [11500/27488] 8124511 spectra, 45701 anomalies, 886 spec/s, ETA: 3.5h
  [11600/27488] 8153896 spectra, 45938 anomalies, 886 spec/s, ETA: 3.5h
  [11700/27488] 8182486 spectra, 46123 anomalies, 886 spec/s, ETA: 3.5h
  [11800/27488] 8206915 spectra, 46389 anomalies, 885 spec/s, ETA: 3.4h
  [11900/27488] 8240051 spectra, 46578 anomalies, 885 spec/s, ETA: 3.4h
  [12000/27488] 8327071 spectra, 46940 anomalies, 885 spec/s, ETA: 3.4h
  [12100/27488] 8430715 spectra, 47492 anomalies, 886 spec/s, ETA: 3.4h
  [12200/27488] 8470485 spectra, 47823 anomalies, 886 spec/s, ETA: 3.3h
  [12300/27488] 8526635 spectra, 48202 anomalies, 885 spec/s, ETA: 3.3h
  [12400/27488] 8574344 spectra, 48685 anomalies, 885 spec/s, ETA: 3.3h
  [12500/27488] 8612906 spectra, 49017 anomalies, 885 spec/s, ETA: 3.2h
  [12600/27488] 8664096 spectra, 49409 anomalies, 884 spec/s, ETA: 3.2h
  [12700/27488] 8751968 spectra, 49839 anomalies, 883 spec/s, ETA: 3.2h
  [12800/27488] 8852687 spectra, 50361 anomalies, 884 spec/s, ETA: 3.2h
  [12900/27488] 8928811 spectra, 50852 anomalies, 884 spec/s, ETA: 3.2h
  [13000/27488] 9051188 spectra, 51456 anomalies, 884 spec/s, ETA: 3.2h
  [13100/27488] 9121893 spectra, 51906 anomalies, 885 spec/s, ETA: 3.1h
  [13200/27488] 9168622 spectra, 52446 anomalies, 885 spec/s, ETA: 3.1h
  [13300/27488] 9242215 spectra, 53031 anomalies, 884 spec/s, ETA: 3.1h
  [13400/27488] 9317903 spectra, 53415 anomalies, 884 spec/s, ETA: 3.1h
  [13500/27488] 9369894 spectra, 53730 anomalies, 884 spec/s, ETA: 3.0h
  [13600/27488] 9413219 spectra, 54708 anomalies, 885 spec/s, ETA: 3.0h
  [13700/27488] 9443888 spectra, 56051 anomalies, 885 spec/s, ETA: 3.0h
  [13800/27488] 9475718 spectra, 56452 anomalies, 884 spec/s, ETA: 3.0h
  [13900/27488] 9535091 spectra, 57396 anomalies, 885 spec/s, ETA: 2.9h
  [14000/27488] 9629083 spectra, 58718 anomalies, 885 spec/s, ETA: 2.9h
  [14100/27488] 9711122 spectra, 60691 anomalies, 885 spec/s, ETA: 2.9h
  [14200/27488] 9798324 spectra, 62476 anomalies, 886 spec/s, ETA: 2.9h
  [14300/27488] 9827585 spectra, 62937 anomalies, 886 spec/s, ETA: 2.8h
  [14400/27488] 9888013 spectra, 64603 anomalies, 885 spec/s, ETA: 2.8h
  [14500/27488] 9954836 spectra, 66495 anomalies, 886 spec/s, ETA: 2.8h
  [14600/27488] 10020085 spectra, 68281 anomalies, 885 spec/s, ETA: 2.8h
  [14700/27488] 10082332 spectra, 69556 anomalies, 886 spec/s, ETA: 2.8h
  [14800/27488] 10110056 spectra, 70552 anomalies, 885 spec/s, ETA: 2.7h
  [14900/27488] 10163520 spectra, 72240 anomalies, 886 spec/s, ETA: 2.7h
  [15000/27488] 10238006 spectra, 73717 anomalies, 885 spec/s, ETA: 2.7h
  [15100/27488] 10296384 spectra, 74555 anomalies, 885 spec/s, ETA: 2.7h
  [15200/27488] 10333192 spectra, 75038 anomalies, 885 spec/s, ETA: 2.6h
  [15300/27488] 10385484 spectra, 76321 anomalies, 885 spec/s, ETA: 2.6h
  [15400/27488] 10447256 spectra, 77132 anomalies, 885 spec/s, ETA: 2.6h
  [15500/27488] 10520143 spectra, 77995 anomalies, 886 spec/s, ETA: 2.6h
  [15600/27488] 10591849 spectra, 79320 anomalies, 886 spec/s, ETA: 2.5h
  [15700/27488] 10634942 spectra, 80165 anomalies, 887 spec/s, ETA: 2.5h
  [15800/27488] 10695769 spectra, 81612 anomalies, 887 spec/s, ETA: 2.5h
  [15900/27488] 10724794 spectra, 82238 anomalies, 887 spec/s, ETA: 2.4h
  [16000/27488] 10753662 spectra, 82856 anomalies, 887 spec/s, ETA: 2.4h
  [16100/27488] 10785955 spectra, 83519 anomalies, 887 spec/s, ETA: 2.4h
  [16200/27488] 10833269 spectra, 84490 anomalies, 887 spec/s, ETA: 2.4h
  [16300/27488] 10902631 spectra, 86013 anomalies, 887 spec/s, ETA: 2.3h
  [16400/27488] 10981529 spectra, 88320 anomalies, 887 spec/s, ETA: 2.3h
  [16500/27488] 11036393 spectra, 89859 anomalies, 888 spec/s, ETA: 2.3h
  [16600/27488] 11088562 spectra, 90782 anomalies, 888 spec/s, ETA: 2.3h
  [16700/27488] 11143178 spectra, 91826 anomalies, 888 spec/s, ETA: 2.3h
  [16800/27488] 11181509 spectra, 92472 anomalies, 888 spec/s, ETA: 2.2h
  [16900/27488] 11217499 spectra, 92815 anomalies, 888 spec/s, ETA: 2.2h
  [17000/27488] 11255900 spectra, 93488 anomalies, 888 spec/s, ETA: 2.2h
  [17100/27488] 11304737 spectra, 94487 anomalies, 888 spec/s, ETA: 2.1h
  [17200/27488] 11376964 spectra, 96262 anomalies, 888 spec/s, ETA: 2.1h
  [17300/27488] 11445910 spectra, 97594 anomalies, 888 spec/s, ETA: 2.1h
  [17400/27488] 11530977 spectra, 99691 anomalies, 888 spec/s, ETA: 2.1h
  [17500/27488] 11622933 spectra, 102142 anomalies, 888 spec/s, ETA: 2.1h
  [17600/27488] 11672183 spectra, 102726 anomalies, 888 spec/s, ETA: 2.1h
  [17700/27488] 11719215 spectra, 102927 anomalies, 888 spec/s, ETA: 2.0h
  [17800/27488] 11770132 spectra, 103750 anomalies, 888 spec/s, ETA: 2.0h
  [17900/27488] 11815344 spectra, 104408 anomalies, 888 spec/s, ETA: 2.0h
  [18000/27488] 11839889 spectra, 104990 anomalies, 887 spec/s, ETA: 2.0h
  [18100/27488] 11866261 spectra, 105801 anomalies, 887 spec/s, ETA: 1.9h
  [18200/27488] 11894772 spectra, 106217 anomalies, 887 spec/s, ETA: 1.9h
  [18300/27488] 11920372 spectra, 106537 anomalies, 887 spec/s, ETA: 1.9h
  [18400/27488] 11948779 spectra, 107209 anomalies, 887 spec/s, ETA: 1.8h
  [18500/27488] 11977120 spectra, 107685 anomalies, 887 spec/s, ETA: 1.8h
  [18600/27488] 12038523 spectra, 108583 anomalies, 887 spec/s, ETA: 1.8h
  [18700/27488] 12106672 spectra, 109434 anomalies, 887 spec/s, ETA: 1.8h
  [18800/27488] 12157760 spectra, 110307 anomalies, 887 spec/s, ETA: 1.8h
  [18900/27488] 12236044 spectra, 112074 anomalies, 887 spec/s, ETA: 1.7h
  [19000/27488] 12311593 spectra, 113712 anomalies, 887 spec/s, ETA: 1.7h
  [19100/27488] 12375546 spectra, 114581 anomalies, 888 spec/s, ETA: 1.7h
  [19200/27488] 12421405 spectra, 115620 anomalies, 887 spec/s, ETA: 1.7h
  [19300/27488] 12492833 spectra, 116682 anomalies, 888 spec/s, ETA: 1.7h
  [19400/27488] 12569675 spectra, 117495 anomalies, 888 spec/s, ETA: 1.6h
  [19500/27488] 12667811 spectra, 118572 anomalies, 889 spec/s, ETA: 1.6h
  [19600/27488] 12774173 spectra, 119667 anomalies, 889 spec/s, ETA: 1.6h
  [19700/27488] 12877009 spectra, 120733 anomalies, 890 spec/s, ETA: 1.6h
  [19800/27488] 12986826 spectra, 121902 anomalies, 891 spec/s, ETA: 1.6h
  [19900/27488] 13082576 spectra, 122837 anomalies, 891 spec/s, ETA: 1.6h
  [20000/27488] 13170832 spectra, 123856 anomalies, 892 spec/s, ETA: 1.5h
  [20100/27488] 13236320 spectra, 124779 anomalies, 892 spec/s, ETA: 1.5h
  [20200/27488] 13282001 spectra, 125822 anomalies, 892 spec/s, ETA: 1.5h
  [20300/27488] 13375382 spectra, 127370 anomalies, 893 spec/s, ETA: 1.5h
  [20400/27488] 13486505 spectra, 128867 anomalies, 893 spec/s, ETA: 1.5h
  [20500/27488] 13596863 spectra, 130392 anomalies, 894 spec/s, ETA: 1.4h
  [20600/27488] 13678224 spectra, 131459 anomalies, 894 spec/s, ETA: 1.4h
  [20700/27488] 13764841 spectra, 132735 anomalies, 895 spec/s, ETA: 1.4h
  [20800/27488] 13860764 spectra, 134138 anomalies, 895 spec/s, ETA: 1.4h
  [20900/27488] 13914214 spectra, 135074 anomalies, 895 spec/s, ETA: 1.4h
  [21000/27488] 13956537 spectra, 135585 anomalies, 895 spec/s, ETA: 1.3h
  [21100/27488] 13984230 spectra, 135789 anomalies, 895 spec/s, ETA: 1.3h
  [21200/27488] 14008929 spectra, 136032 anomalies, 895 spec/s, ETA: 1.3h
  [21300/27488] 14041352 spectra, 136440 anomalies, 895 spec/s, ETA: 1.3h
  [21400/27488] 14100242 spectra, 137552 anomalies, 895 spec/s, ETA: 1.2h
  [21500/27488] 14157894 spectra, 138486 anomalies, 895 spec/s, ETA: 1.2h
  [21600/27488] 14257203 spectra, 139208 anomalies, 895 spec/s, ETA: 1.2h
  [21700/27488] 14359432 spectra, 140102 anomalies, 896 spec/s, ETA: 1.2h
  [21800/27488] 14489981 spectra, 141465 anomalies, 896 spec/s, ETA: 1.2h
  [21900/27488] 14571549 spectra, 142250 anomalies, 896 spec/s, ETA: 1.2h
  [22000/27488] 14665855 spectra, 143200 anomalies, 897 spec/s, ETA: 1.1h
  [22100/27488] 14766667 spectra, 144289 anomalies, 897 spec/s, ETA: 1.1h
  [22200/27488] 14838988 spectra, 144857 anomalies, 897 spec/s, ETA: 1.1h
  [22300/27488] 14920869 spectra, 146312 anomalies, 897 spec/s, ETA: 1.1h
  [22400/27488] 15019321 spectra, 147933 anomalies, 898 spec/s, ETA: 1.1h
  [22500/27488] 15061460 spectra, 148625 anomalies, 898 spec/s, ETA: 1.0h
  [22600/27488] 15091028 spectra, 148948 anomalies, 897 spec/s, ETA: 1.0h
  [22700/27488] 15118050 spectra, 149254 anomalies, 897 spec/s, ETA: 1.0h
  [22800/27488] 15197515 spectra, 150862 anomalies, 897 spec/s, ETA: 1.0h
  [22900/27488] 15277152 spectra, 151687 anomalies, 897 spec/s, ETA: 0.9h
  [23000/27488] 15319313 spectra, 152176 anomalies, 897 spec/s, ETA: 0.9h
  [23100/27488] 15363744 spectra, 152604 anomalies, 897 spec/s, ETA: 0.9h
  [23200/27488] 15440667 spectra, 153391 anomalies, 897 spec/s, ETA: 0.9h
  [23300/27488] 15483705 spectra, 153996 anomalies, 897 spec/s, ETA: 0.9h
  [23400/27488] 15522749 spectra, 154256 anomalies, 897 spec/s, ETA: 0.8h
  [23500/27488] 15558684 spectra, 154650 anomalies, 897 spec/s, ETA: 0.8h
  [23600/27488] 15616045 spectra, 155471 anomalies, 897 spec/s, ETA: 0.8h
  [23700/27488] 15644434 spectra, 155880 anomalies, 896 spec/s, ETA: 0.8h
  [23800/27488] 15681879 spectra, 156458 anomalies, 896 spec/s, ETA: 0.8h
  [23900/27488] 15720348 spectra, 157081 anomalies, 896 spec/s, ETA: 0.7h
  [24000/27488] 15760390 spectra, 157785 anomalies, 896 spec/s, ETA: 0.7h
  [24100/27488] 15799354 spectra, 158810 anomalies, 896 spec/s, ETA: 0.7h
  [24200/27488] 15847487 spectra, 159945 anomalies, 896 spec/s, ETA: 0.7h
  [24300/27488] 15901287 spectra, 161846 anomalies, 896 spec/s, ETA: 0.6h
