pix,n_cw,n,n_ccw,cw_fraction,sigma_from_half
26215,28,51,23,0.5490196078431373,0.7001400420140048
26216,34,57,23,0.5964912280701754,1.4569855927715483
26217,57,109,52,0.5229357798165137,0.47891314261057566
26221,35,72,37,0.4861111111111111,-0.23570226039551587
26222,26,55,29,0.4727272727272727,-0.40451991747794525
26223,26,54,28,0.48148148148148145,-0.2721655269759087
26236,38,80,42,0.475,-0.4472135954999579
26237,39,73,34,0.5342465753424658,0.5852057359806528
26239,40,76,36,0.5263157894736842,0.4588314677411235
26240,20,50,30,0.4,-1.414213562373095
26257,30,54,24,0.5555555555555556,0.816496580927726
26258,38,76,38,0.5,0.0
26259,30,78,48,0.38461538461538464,-2.038098661460272
26260,35,64,29,0.546875,0.75
26261,47,88,41,0.5340909090909091,0.6396021490668313
26262,33,73,40,0.4520547945205479,-0.819288030372914
26263,37,80,43,0.4625,-0.6708203932499369
26264,40,81,41,0.49382716049382713,-0.1111111111111111
26265,49,115,66,0.4260869565217391,-1.5852581740085334
26266,50,113,63,0.4424778761061947,-1.2229371288986763
26267,47,109,62,0.43119266055045874,-1.436739427831727
26268,29,54,25,0.5370370370370371,0.5443310539518174
26269,19,51,32,0.37254901960784315,-1.8203641092364127
26277,32,67,35,0.47761194029850745,-0.36650833306891567
26278,54,114,60,0.47368421052631576,-0.5619514869490164
26279,38,70,32,0.5428571428571428,0.7171371656006361
26280,47,83,36,0.5662650602409639,1.2074068598865937
26281,23,50,27,0.46,-0.565685424949238
26282,35,69,34,0.5072463768115942,0.1203858530857692
26283,37,75,38,0.49333333333333335,-0.11547005383792514
26284,42,96,54,0.4375,-1.2247448713915892
26285,66,126,60,0.5238095238095238,0.5345224838248488
26286,55,106,51,0.5188679245283019,0.38851434494290565
26287,51,94,43,0.5425531914893617,0.8251369970070347
26288,56,128,72,0.4375,-1.414213562373095
26289,47,94,47,0.5,0.0
26290,30,60,30,0.5,0.0
26291,37,67,30,0.5522388059701493,0.8551861104941365
26292,35,56,21,0.625,1.8708286933869707
26331,37,83,46,0.4457831325301205,-0.9878783399072131
26332,40,66,26,0.6060606060606061,1.7232808737106582
26333,40,88,48,0.45454545454545453,-0.8528028654224417
26334,52,108,56,0.48148148148148145,-0.3849001794597505
26335,40,87,47,0.45977011494252873,-0.7504787743864564
26336,57,100,43,0.57,1.4
26337,57,99,42,0.5757575757575758,1.507556722888818
26338,49,119,70,0.4117647058823529,-1.9250668437592438
26339,39,77,38,0.5064935064935064,0.11396057645963795
26340,32,62,30,0.5161290322580645,0.254000254000381
26341,49,90,41,0.5444444444444444,0.8432740427115678
26342,65,118,53,0.5508474576271186,1.104689541477988
26343,66,141,75,0.46808510638297873,-0.7579367289598671
26344,70,158,88,0.4430379746835443,-1.432003111516314
26345,69,142,73,0.4859154929577465,-0.33567254331867563
26346,45,87,42,0.5172413793103449,0.3216337604513384
26347,56,120,64,0.4666666666666667,-0.7302967433402214
26348,47,94,47,0.5,0.0
26349,52,97,45,0.5360824742268041,0.7107423155935334
26350,66,150,84,0.44,-1.469693845669907
26351,39,82,43,0.47560975609756095,-0.44172610429938614
26352,41,97,56,0.422680412371134,-1.5230192477004287
26353,32,68,36,0.47058823529411764,-0.48507125007266594
26354,29,75,46,0.38666666666666666,-1.9629909152447274
26355,67,116,49,0.5775862068965517,1.671258043593467
26356,44,95,51,0.4631578947368421,-0.7181848464596079
26357,42,80,38,0.525,0.4472135954999579
26358,44,108,64,0.4074074074074074,-1.9245008972987525
26359,59,124,65,0.47580645161290325,-0.5388159060803247
26360,61,122,61,0.5,0.0
26361,76,137,61,0.5547445255474452,1.2815364865751413
26362,64,105,41,0.6095238095238096,2.2445701677816263
26363,62,157,95,0.39490445859872614,-2.633686718743153
26364,65,120,55,0.5416666666666666,0.9128709291752769
26365,74,141,67,0.524822695035461,0.5895063447465633
26366,57,106,49,0.5377358490566038,0.7770286898858113
26367,45,79,34,0.569620253164557,1.2375966910186262
26368,42,87,45,0.4827586206896552,-0.3216337604513384
26369,36,65,29,0.5538461538461539,0.8682431421244593
26371,73,140,67,0.5214285714285715,0.50709255283711
26372,33,81,48,0.4074074074074074,-1.6666666666666667
26373,63,109,46,0.5779816513761468,1.6283046848759573
26374,55,120,65,0.4583333333333333,-0.9128709291752769
26375,49,106,57,0.46226415094339623,-0.7770286898858113
26376,61,124,63,0.49193548387096775,-0.1796053020267749
26377,61,126,65,0.48412698412698413,-0.3563483225498992
26378,49,101,52,0.48514851485148514,-0.29851115706299675
26379,62,129,67,0.4806201550387597,-0.4402254531628119
26380,90,170,80,0.5294117647058824,0.7669649888473704
26381,60,136,76,0.4411764705882353,-1.3719886811400706
26382,53,81,28,0.654320987654321,2.7777777777777777
26383,44,84,40,0.5238095238095238,0.4364357804719848
26384,53,81,28,0.654320987654321,2.7777777777777777
26385,63,119,56,0.5294117647058824,0.641688947919748
26386,29,59,30,0.4915254237288136,-0.13018891098082389
26387,26,56,30,0.4642857142857143,-0.5345224838248488
26388,37,79,42,0.46835443037974683,-0.562543950463012
26389,38,60,22,0.6333333333333333,2.065591117977289
26390,41,90,49,0.45555555555555555,-0.8432740427115678
26391,71,134,63,0.5298507462686567,0.6910947404650881
26392,45,73,28,0.6164383561643836,1.9896995023342199
26393,38,79,41,0.4810126582278481,-0.3375263702778072
26394,51,83,32,0.6144578313253012,2.0855209398041166
26396,28,57,29,0.49122807017543857,-0.13245323570650439
26397,35,64,29,0.546875,0.75
26398,33,61,28,0.5409836065573771,0.6401843996644799
26399,31,73,42,0.4246575342465753,-1.2874526191574363
26400,33,58,25,0.5689655172413793,1.0504514628777804
26402,40,78,38,0.5128205128205128,0.22645540682891913
26459,29,53,24,0.5471698113207547,0.6868028197434451
26460,33,81,48,0.4074074074074074,-1.6666666666666667
26461,35,78,43,0.44871794871794873,-0.9058216273156765
26462,85,159,74,0.5345911949685535,0.8723567442899586
26463,34,72,38,0.4722222222222222,-0.47140452079103173
26464,66,131,65,0.5038167938931297,0.0873704056661038
26466,87,130,43,0.6692307692307692,3.8590552849509288
26467,36,79,43,0.45569620253164556,-0.7875615306482168
26468,31,60,29,0.5166666666666667,0.2581988897471611
26469,75,123,48,0.6097560975609756,2.434508013602067
26470,29,51,22,0.5686274509803921,0.9801960588196068
26472,30,58,28,0.5172413793103449,0.2626128657194451
26473,48,97,49,0.4948453608247423,-0.10153461651336192
26474,50,96,46,0.5208333333333334,0.4082482904638631
26484,44,75,31,0.5866666666666667,1.5011106998930268
26492,35,62,27,0.5645161290322581,1.016001016001524
26493,55,97,42,0.5670103092783505,1.3199500146737049
26495,30,57,27,0.5263157894736842,0.39735970711951313
26511,36,72,36,0.5,0.0
26512,33,65,32,0.5076923076923077,0.12403473458920847
26513,35,71,36,0.49295774647887325,-0.11867816581938533
26514,37,72,35,0.5138888888888888,0.23570226039551587
26515,36,56,20,0.6428571428571429,2.138089935299395
26516,39,72,33,0.5416666666666666,0.7071067811865476
26517,37,76,39,0.4868421052631579,-0.22941573387056174
26518,62,111,49,0.5585585585585585,1.2339053944782488
26519,46,91,45,0.5054945054945055,0.10482848367219183
26520,31,53,22,0.5849056603773585,1.2362450755382013
26521,58,118,60,0.4915254237288136,-0.1841149235796647
26522,63,135,72,0.4666666666666667,-0.7745966692414834
26523,54,119,65,0.453781512605042,-1.0083683467310325
26524,23,51,28,0.45098039215686275,-0.7001400420140048
26533,52,95,43,0.5473684210526316,0.9233805168766388
26534,30,69,39,0.43478260869565216,-1.0834726777719228
26535,51,95,44,0.5368421052631579,0.7181848464596079
26536,28,66,38,0.42424242424242425,-1.2309149097933272
26537,38,86,48,0.4418604651162791,-1.078327732034384
26538,34,66,32,0.5151515151515151,0.24618298195866545
26540,54,91,37,0.5934065934065934,1.7820842224272613
26541,28,77,49,0.36363636363636365,-2.393172105652397
26542,57,108,51,0.5277777777777778,0.5773502691896257
26543,61,139,78,0.43884892086330934,-1.4419211804559506
26544,74,167,93,0.4431137724550898,-1.47026414181486
26545,28,73,45,0.3835616438356164,-1.9896995023342199
26546,26,63,37,0.4126984126984127,-1.3858697343671664
26587,33,71,38,0.4647887323943662,-0.5933908290969266
26588,39,90,51,0.43333333333333335,-1.2649110640673518
26589,61,124,63,0.49193548387096775,-0.1796053020267749
26590,52,125,73,0.416,-1.8782971010998233
26591,41,86,45,0.47674418604651164,-0.43133109281375365
26592,48,92,44,0.5217391304347826,0.41702882811414954
26593,31,63,32,0.49206349206349204,-0.1259881576697424
26594,38,72,34,0.5277777777777778,0.47140452079103173
26595,36,63,27,0.5714285714285714,1.1338934190276817
26596,29,57,28,0.5087719298245614,0.13245323570650439
26597,38,92,54,0.41304347826086957,-1.6681153124565982
26598,75,145,70,0.5172413793103449,0.41522739926869984
26599,68,118,50,0.576271186440678,1.6570343122169822
26600,54,104,50,0.5192307692307693,0.3922322702763681
26601,56,103,47,0.5436893203883495,0.8867963503478639
26602,58,119,61,0.48739495798319327,-0.2750095491084634
26603,51,115,64,0.4434782608695652,-1.212256250712408
26604,49,97,48,0.5051546391752577,0.10153461651336192
26605,42,82,40,0.5121951219512195,0.22086305214969307
26606,76,157,81,0.4840764331210191,-0.39904344223381105
26607,35,56,21,0.625,1.8708286933869707
26608,39,69,30,0.5652173913043478,1.0834726777719228
26609,36,69,33,0.5217391304347826,0.3611575592573076
26610,44,98,54,0.4489795918367347,-1.0101525445522108
26611,57,121,64,0.47107438016528924,-0.6363636363636364
26612,55,116,61,0.47413793103448276,-0.5570860145311556
26613,44,104,60,0.4230769230769231,-1.5689290811054724
26614,50,107,57,0.4672897196261682,-0.6767155423319645
26615,79,149,70,0.5302013422818792,0.7373087284671365
26616,66,134,68,0.4925373134328358,-0.17277368511627203
26617,59,125,66,0.472,-0.6260990336999411
26618,65,138,73,0.47101449275362317,-0.6810052246069989
26619,73,126,53,0.5793650793650794,1.7817416127494958
26620,47,103,56,0.4563106796116505,-0.8867963503478639
26621,92,161,69,0.5714285714285714,1.8126539343499315
