# Galaxy Zoo DECaLS Spiral Galaxy Catalog
# Source: Walmsley et al. (2022), MNRAS 509:3966
# DOI: 10.5281/zenodo.4573248
# License: CC-BY-4.0
# Generated by: research/data_build/build_galaxy_spin_dataset.py
# Total spirals: 18979
#
# LIMITATION: This catalog identifies spiral galaxies but does NOT
# include CW/CCW winding direction. Galaxy Zoo DECaLS classifies
# winding TIGHTNESS (tight/medium/loose), not CHIRALITY.
# For CW/CCW counts, see galaxy_spin_counts.csv (Shamir 2024).
#
galaxy_id,ra,dec,redshift,spiral_vote_fraction,winding_tight,winding_medium,winding_loose,survey_source
J124239.20+195643.3,190.6635102777111,19.945284100437068,0.0031654746,0.8888888888888888,0.7083333333333334,0.2083333333333333,0.0833333333333333,Galaxy_Zoo_DECaLS
J163347.17+285901.5,248.44853308486472,28.98468221935622,0.0031974725,0.85,0.4117647058823529,0.4705882352941176,0.1176470588235294,Galaxy_Zoo_DECaLS
J163347.00+285907.0,248.4465821332719,28.983765436859134,0.0032088915,0.8461538461538461,0.4545454545454545,0.4090909090909091,0.1363636363636363,Galaxy_Zoo_DECaLS
J122738.77+182604.3,186.91160475179473,18.43453968694975,0.003439917,1.0,1.0,0.0,0.0,Galaxy_Zoo_DECaLS
J215904.69+181039.0,329.76974618121125,18.177660155876236,0.003645861,0.75,0.4761904761904762,0.2857142857142857,0.2380952380952381,Galaxy_Zoo_DECaLS
J213809.69+085740.9,324.5402052511742,8.961993083165892,0.0037092385,0.8846153846153846,0.0,0.1739130434782608,0.8260869565217391,Galaxy_Zoo_DECaLS
J130058.67-000139.1,195.244464895516,-0.027569783127235268,0.0039709075,0.7692307692307693,0.2,0.45,0.35,Galaxy_Zoo_DECaLS
J120811.10+025241.8,182.046303816804,2.878298054501285,0.004290333,1.0,0.625,0.2916666666666667,0.0833333333333333,Galaxy_Zoo_DECaLS
J142818.42+134648.8,217.07676115073272,13.780211737929251,0.0042968076,0.9285714285714286,0.5384615384615384,0.3076923076923077,0.1538461538461538,Galaxy_Zoo_DECaLS
J102057.12+252153.8,155.23798408813633,25.364959222630254,0.0043610563,0.75,0.9047619047619048,0.0476190476190476,0.0476190476190476,Galaxy_Zoo_DECaLS
J120736.79+024132.0,181.9046546550881,2.69034826703854,0.0043663606,0.7727272727272727,0.4117647058823529,0.4705882352941176,0.1176470588235294,Galaxy_Zoo_DECaLS
J125512.65+000659.9,193.8027384186064,0.11665740286285613,0.0044022566,0.7083333333333334,0.4705882352941176,0.3529411764705882,0.1764705882352941,Galaxy_Zoo_DECaLS
J103049.67+235754.2,157.70870278538533,23.965932951572825,0.004420974,0.7857142857142857,0.3636363636363637,0.4090909090909091,0.2272727272727273,Galaxy_Zoo_DECaLS
J150000.39+015328.7,225.00168272482023,1.89134380318416,0.004492924,0.8965517241379308,0.8461538461538461,0.0769230769230769,0.0769230769230769,Galaxy_Zoo_DECaLS
J100931.60+300905.9,152.38095270037408,30.15046021976084,0.00459652,0.7419354838709677,0.6086956521739131,0.217391304347826,0.1739130434782608,Galaxy_Zoo_DECaLS
