config,z,fisher
multi_DESI_plus_anomaly,0.7000000000000001,638118606271.3173
multi_DESI_plus_anomaly,0.9,927389647648.1929
multi_DESI_plus_anomaly,1.1,800297929405.9624
multi_DESI_plus_anomaly,1.3,440786546764.4574
multi_DESI_plus_anomaly,1.5,526362477552.7929
multi_DESI_plus_anomaly,1.7000000000000002,439939529588.86273
multi_DESI_plus_anomaly,1.9,472275377372.5834
multi_DESI_plus_anomaly,2.1,440107799966.4765
multi_DESI_plus_anomaly,2.3000000000000003,346300005341.66626
multi_DESI_plus_anomaly,2.5000000000000004,99398923473.9916
multi_DESI_plus_anomaly,2.7,43566325657.64111
multi_DESI_plus_anomaly,2.9000000000000004,11694154399.647991
multi_SPHEREx_DESI_combined,0.30000000000000004,193132081711.1478
multi_SPHEREx_DESI_combined,0.5,1196734967945.3674
multi_SPHEREx_DESI_combined,0.7000000000000001,2944536520630.297
multi_SPHEREx_DESI_combined,0.9,3967641640362.1987
multi_SPHEREx_DESI_combined,1.1,2540294881994.4517
multi_SPHEREx_DESI_combined,1.3,1194996653611.5278
multi_SPHEREx_DESI_combined,1.5,1348181084873.325
multi_SPHEREx_DESI_combined,1.7000000000000002,1282565272529.2053
multi_SPHEREx_DESI_combined,1.9,1188483531745.7236
multi_SPHEREx_DESI_combined,2.1,985476817928.3195
multi_SPHEREx_DESI_combined,2.3000000000000003,763107471047.5995
multi_SPHEREx_DESI_combined,2.5000000000000004,280731930882.80023
multi_SPHEREx_DESI_combined,2.7,148669064656.83398
multi_SPHEREx_DESI_combined,2.9000000000000004,58071156668.74029
multi_SPHEREx_DESI_plus_anomaly,0.30000000000000004,206474959358.5187
multi_SPHEREx_DESI_plus_anomaly,0.5,1255625637908.2292
multi_SPHEREx_DESI_plus_anomaly,0.7000000000000001,3079519500240.169
multi_SPHEREx_DESI_plus_anomaly,0.9,4185718772195.0254
multi_SPHEREx_DESI_plus_anomaly,1.1,2799424868604.938
multi_SPHEREx_DESI_plus_anomaly,1.3,1385003289152.5847
multi_SPHEREx_DESI_plus_anomaly,1.5,1519578703478.939
multi_SPHEREx_DESI_plus_anomaly,1.7000000000000002,1507823308116.2424
multi_SPHEREx_DESI_plus_anomaly,1.9,1486404116594.7793
multi_SPHEREx_DESI_plus_anomaly,2.1,1325715623648.935
multi_SPHEREx_DESI_plus_anomaly,2.3000000000000003,1088141843354.1531
multi_SPHEREx_DESI_plus_anomaly,2.5000000000000004,544714897757.82513
multi_SPHEREx_DESI_plus_anomaly,2.7,297863531185.693
multi_SPHEREx_DESI_plus_anomaly,2.9000000000000004,117458933857.14975
